question,agreement,age,count
Trust news in search engines most of the time,Strongly disagree,18-24,26
Trust news in search engines most of the time,Disagree,18-24,88
Trust news in search engines most of the time,Tend to disagree,18-24,62
Trust news in search engines most of the time,Neither agree nor disagree,18-24,103
Trust news in search engines most of the time,Tend to agree,18-24,73
Trust news in search engines most of the time,Agree,18-24,83
Trust news in search engines most of the time,Strongly agree,18-24,10
Trust news in search engines most of the time,Strongly disagree,25-34,58
Trust news in search engines most of the time,Disagree,25-34,143
Trust news in search engines most of the time,Tend to disagree,25-34,86
Trust news in search engines most of the time,Neither agree nor disagree,25-34,175
Trust news in search engines most of the time,Tend to agree,25-34,96
Trust news in search engines most of the time,Agree,25-34,129
Trust news in search engines most of the time,Strongly agree,25-34,33
Trust news in search engines most of the time,Strongly disagree,35-44,53
Trust news in search engines most of the time,Disagree,35-44,151
Trust news in search engines most of the time,Tend to disagree,35-44,99
Trust news in search engines most of the time,Neither agree nor disagree,35-44,173
Trust news in search engines most of the time,Tend to agree,35-44,100
Trust news in search engines most of the time,Agree,35-44,118
Trust news in search engines most of the time,Strongly agree,35-44,18
Trust news in search engines most of the time,Strongly disagree,45-54,34
Trust news in search engines most of the time,Disagree,45-54,107
Trust news in search engines most of the time,Tend to disagree,45-54,73
Trust news in search engines most of the time,Neither agree nor disagree,45-54,126
Trust news in search engines most of the time,Tend to agree,45-54,83
Trust news in search engines most of the time,Agree,45-54,101
Trust news in search engines most of the time,Strongly agree,45-54,17
Trust news in search engines most of the time,Strongly disagree,55-64,59
Trust news in search engines most of the time,Disagree,55-64,190
Trust news in search engines most of the time,Tend to disagree,55-64,130
Trust news in search engines most of the time,Neither agree nor disagree,55-64,193
Trust news in search engines most of the time,Tend to agree,55-64,105
Trust news in search engines most of the time,Agree,55-64,111
Trust news in search engines most of the time,Strongly agree,55-64,6
Trust news in search engines most of the time,Strongly disagree,65+,56
Trust news in search engines most of the time,Disagree,65+,160
Trust news in search engines most of the time,Tend to disagree,65+,104
Trust news in search engines most of the time,Neither agree nor disagree,65+,165
Trust news in search engines most of the time,Tend to agree,65+,76
Trust news in search engines most of the time,Agree,65+,83
Trust news in search engines most of the time,Strongly agree,65+,7