question,question_choice,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55+,18-20,21-24,U35,35+,U45,45+,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55+,M 18-20,M 21-24,M U35,M 35+,M U45,M 45+,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55+,F 18-20,F 21-24,F U35,F 35+,F U45,F 45+,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
Trust news in search engines most of the time,Disagree,839,458,381,839,88,143,151,107,350,38,49,231,608,383,456,190,160,839,52,81,89,57,179,23,29,133,325,222,236,98,82,36,62,63,50,170,16,20,98,283,161,220,92,79,839,12,,20,9,101,17,6,2,4,64,26,,13,24,14,12,6,25,4,2,11,10,19,15,5,17,5,3,8,4,19,8,52,16,,29,9,9,47,5,11,3,14,76,6,1,30,20,6,19,1,839,147,160,324,208,839,31,31,38,40,46,40,32,42,44,36,51,27,36,43,60,79,29,24,112,839,226,303,310,804,215,252,337,839,282,201,356,839,131,708
Trust in Brands (6-10),Fox News,1035,519,515,1035,108,168,178,154,427,51,57,276,759,454,581,212,215,1035,60,76,95,80,209,29,30,135,384,230,289,107,102,48,92,83,74,218,22,26,140,375,223,292,106,112,1035,21,2,32,10,102,25,8,6,4,88,28,1,8,36,20,7,7,24,10,5,20,12,22,15,9,30,5,1,10,4,30,6,74,32,,40,7,14,51,2,14,2,22,86,8,2,30,13,5,25,,1035,187,207,415,226,1035,45,36,56,48,58,49,43,54,38,39,65,33,55,57,78,85,50,31,116,1035,266,406,363,992,199,365,428,1035,366,238,431,1035,134,901
Trust in Brands (6-10),CNN,1215,592,623,1215,146,227,242,176,424,61,85,373,842,615,600,244,180,1215,76,105,121,97,194,33,43,181,412,301,291,117,77,71,122,121,79,230,29,42,192,430,314,309,127,103,1215,24,1,25,7,145,32,12,3,10,76,36,2,5,49,26,12,6,20,10,1,22,23,45,24,8,25,7,6,7,4,32,7,98,33,2,56,10,23,64,4,19,1,16,84,12,2,30,20,3,23,2,1215,240,275,412,288,1215,59,47,62,58,68,57,58,51,42,54,72,33,52,79,97,91,68,52,113,1215,375,449,391,1177,367,324,486,1215,428,289,498,1215,192,1023
Trust in Brands (6-10),NBC/MSNBC News,1240,601,639,1240,135,222,236,184,464,49,86,357,884,593,648,269,195,1240,72,110,114,96,210,28,44,181,420,295,306,125,84,63,112,122,88,254,21,42,175,464,297,342,143,111,1240,23,,28,6,146,30,13,2,9,77,35,1,7,51,29,12,10,25,10,,25,21,47,21,10,23,7,5,7,5,34,7,98,29,2,56,12,22,70,4,19,2,20,87,7,2,33,24,3,26,2,1240,245,283,425,287,1240,51,44,64,64,68,69,61,54,42,57,77,37,59,77,93,99,63,50,111,1240,375,474,392,1200,358,336,505,1240,430,285,525,1240,191,1049
Trust in Brands (6-10),ABC News,1301,628,673,1301,147,230,245,194,485,55,93,377,924,622,679,279,206,1301,75,110,123,102,217,30,45,186,442,309,319,134,84,72,119,121,93,268,25,47,191,482,313,360,145,123,1301,26,2,28,9,157,29,14,5,8,81,38,1,7,56,26,11,9,27,12,3,19,23,43,22,11,23,8,5,10,4,37,7,102,30,1,58,10,20,73,4,20,1,24,96,9,2,35,23,3,29,2,1301,261,284,453,303,1301,59,48,68,69,66,66,64,58,44,62,77,36,62,75,100,108,63,51,124,1301,382,486,432,1258,380,361,517,1301,459,301,540,1301,196,1104
Trust in Brands (6-10),CBS News,1312,648,664,1312,144,237,249,189,494,56,87,381,931,629,683,279,215,1312,81,115,126,103,223,35,47,196,452,322,326,135,88,63,122,123,86,271,22,41,184,480,307,357,144,127,1312,20,3,26,11,146,26,14,5,9,83,44,1,7,57,30,14,9,25,10,2,25,22,44,23,9,23,7,3,10,5,36,8,102,32,2,58,9,22,71,4,19,2,23,99,11,2,36,25,3,30,2,1312,257,294,466,295,1312,52,52,67,70,63,70,66,58,48,70,80,33,59,81,95,107,72,50,120,1312,386,510,416,1269,381,359,529,1312,444,318,551,1312,198,1114
Trust in Brands (6-10),Yahoo! News,896,469,427,896,97,164,196,140,299,37,60,261,635,457,439,181,118,896,58,76,108,79,148,24,34,134,335,242,227,91,57,39,89,88,61,151,12,26,127,300,215,212,90,61,896,22,,13,8,97,20,10,3,5,68,25,2,2,38,20,6,6,16,10,1,19,14,31,13,7,19,3,5,9,,23,5,72,22,1,35,7,11,48,2,18,,15,78,6,2,23,14,4,19,,896,172,193,350,181,896,47,32,47,52,45,48,41,41,33,40,47,28,43,55,75,72,46,36,71,896,267,324,305,866,253,231,382,896,345,210,342,896,133,764
Trust in Brands (6-10),Local television news,1515,738,777,1515,157,260,286,217,596,67,90,417,1098,702,812,325,271,1515,89,124,142,113,270,40,49,213,525,355,383,155,115,68,136,143,103,326,27,41,204,573,347,430,170,157,1515,26,3,36,12,149,39,14,6,8,97,49,1,13,65,33,14,14,28,17,6,24,20,48,26,10,34,8,8,13,8,38,11,96,39,2,67,13,25,84,4,23,4,28,128,11,3,40,28,6,35,1,1515,273,348,554,340,1515,55,53,85,79,86,82,75,69,56,75,97,45,70,89,107,119,73,48,153,1515,417,575,523,1459,408,430,621,1515,503,344,668,1515,212,1302
Trust in Brands (6-10),New York Times,1259,615,644,1259,163,244,240,180,431,68,94,407,852,647,612,255,177,1259,85,115,115,102,199,38,47,200,415,315,300,124,74,78,129,125,79,233,30,48,207,437,333,312,131,102,1259,23,4,28,7,159,27,13,4,7,80,34,1,5,48,27,15,8,19,12,2,23,25,43,21,7,26,6,6,10,5,35,6,104,30,2,56,8,25,62,5,21,,18,100,10,2,32,24,3,22,2,1259,251,272,428,307,1259,59,37,63,66,70,61,53,52,46,59,77,37,61,75,97,102,73,55,117,1259,384,465,411,1225,416,306,503,1259,447,302,510,1259,200,1059
Trust in Brands (6-10),Washington Post,1225,605,621,1225,148,225,241,175,436,61,87,373,852,615,611,259,177,1225,81,99,122,103,200,36,46,180,425,302,302,122,77,67,126,119,72,236,25,42,193,427,312,308,137,100,1225,22,2,24,8,151,27,13,4,10,83,34,1,9,44,27,14,8,18,12,2,22,25,42,20,9,24,7,6,10,5,33,7,97,26,2,54,11,20,70,3,18,,20,89,7,2,32,23,3,22,2,1225,249,263,423,289,1225,51,45,64,60,63,55,53,51,42,55,78,35,59,79,97,112,71,45,111,1225,389,467,369,1191,399,300,492,1225,428,301,496,1225,208,1017
Trust in Brands (6-10),HuffPost (Huffington Post),955,451,505,955,119,190,171,129,347,45,74,309,646,480,475,205,142,955,62,83,74,71,159,27,36,146,305,220,231,100,59,57,107,96,57,187,19,38,163,341,260,245,105,83,955,20,1,17,4,114,20,9,3,7,71,30,1,6,37,25,14,6,15,9,1,18,17,32,12,10,18,6,5,9,1,29,5,72,19,2,38,9,19,56,1,12,1,14,66,7,2,25,18,2,20,1,955,189,208,336,223,955,41,30,54,45,52,51,49,35,37,52,62,26,44,59,75,74,58,31,79,955,305,363,287,941,313,228,400,955,363,232,360,955,158,797
Trust in Brands (6-10),Buzzfeed News,734,364,371,734,93,159,161,102,219,36,57,252,482,413,321,142,77,734,49,77,77,59,101,23,27,126,237,203,161,73,29,43,83,84,43,118,13,30,126,245,210,161,69,49,734,13,2,11,4,92,16,5,1,6,51,20,2,1,33,13,5,6,12,5,,16,14,28,7,5,14,3,3,4,2,16,4,76,18,2,28,6,12,41,,13,,12,59,2,2,22,13,3,13,,734,155,153,265,162,734,44,23,45,37,32,34,31,29,27,36,40,17,38,41,56,64,50,25,64,734,248,259,228,717,244,158,316,734,301,182,252,734,123,611
Trust in Brands (6-10),NPR News,976,526,450,976,116,188,189,144,339,38,78,304,672,493,483,209,130,976,65,94,104,90,173,23,42,158,367,262,263,108,65,52,94,85,54,166,16,36,146,304,230,220,101,65,976,18,4,20,5,132,24,10,3,8,59,29,1,6,41,19,13,7,17,7,1,18,20,31,21,8,16,7,5,8,4,21,5,74,19,2,44,7,19,43,2,13,1,18,68,6,1,24,19,2,23,2,976,175,223,323,254,976,36,32,33,48,49,42,50,43,36,50,58,28,45,66,79,90,69,23,99,976,346,363,267,955,374,209,371,976,364,251,361,976,194,782
Trust in Brands (6-10),Breitbart,455,272,184,455,37,98,87,58,175,13,24,135,320,222,233,89,85,455,22,57,52,40,101,9,13,79,193,131,141,53,48,15,41,35,18,74,4,11,56,127,91,92,36,38,455,9,1,14,5,59,10,2,3,3,40,9,,8,17,7,6,3,15,5,,3,7,6,3,5,15,2,2,5,,7,5,33,10,,11,4,3,23,1,4,1,9,38,3,,15,13,,11,,455,73,83,176,123,455,28,10,16,21,14,16,22,25,21,23,26,14,20,31,36,46,24,11,51,455,153,164,138,439,98,143,197,455,214,116,124,455,85,371
Trust in Brands (6-10),Wall Street Journal,1319,651,668,1319,135,238,230,207,509,54,81,374,945,604,715,290,218,1319,65,112,116,112,246,26,39,177,474,293,358,151,95,70,126,114,95,262,28,42,197,471,310,357,140,123,1319,26,3,35,11,159,32,13,5,9,92,41,1,9,57,30,13,8,24,9,4,27,23,43,16,10,31,8,7,8,5,31,9,95,33,2,56,7,22,66,5,17,,20,103,10,2,30,21,3,26,1,1319,244,288,468,319,1319,56,39,56,67,72,53,61,51,47,62,84,38,56,84,108,126,79,43,137,1319,401,508,410,1283,401,348,534,1319,471,335,513,1319,216,1103
Trust in Brands (6-10),Vice News,529,313,216,529,84,147,119,70,110,32,51,230,299,349,180,73,37,529,56,77,67,49,65,24,32,132,181,200,113,45,20,28,70,52,21,46,9,19,98,119,150,67,28,17,529,16,3,11,2,79,14,4,1,3,35,9,1,,22,10,9,4,13,7,,14,6,16,4,8,11,2,,4,,12,3,46,12,1,11,3,9,30,1,6,,8,35,3,,20,14,1,5,,529,101,93,193,142,529,36,23,25,24,29,23,26,20,21,28,20,12,15,25,51,44,41,18,49,529,181,186,162,517,185,116,216,529,229,140,160,529,95,435
Distrust in Brands (0-4),Fox News,943,483,461,943,109,184,174,121,356,31,78,293,650,467,476,206,150,943,60,91,89,69,174,16,43,150,332,239,243,104,70,49,93,85,52,181,15,35,143,318,228,233,102,80,943,18,5,24,4,119,21,11,1,8,57,24,1,6,40,24,19,7,17,10,,17,20,36,16,2,14,5,6,11,5,16,6,64,16,2,40,7,18,50,4,11,1,9,70,8,1,25,25,2,16,2,943,171,222,299,252,943,32,28,39,50,50,42,47,38,41,37,57,25,42,54,67,84,57,39,115,943,303,329,311,901,360,184,357,943,316,230,398,943,176,768
Distrust in Brands (0-4),CNN,767,427,340,767,59,129,120,98,361,22,37,188,579,308,459,164,197,767,34,69,77,57,191,13,21,103,324,179,248,88,103,25,61,43,41,170,9,16,86,254,129,211,75,95,767,14,3,33,9,79,18,8,3,5,66,20,,13,25,19,12,6,23,7,4,12,11,13,8,3,20,2,2,14,6,14,4,35,17,,31,8,5,36,3,9,1,19,65,5,,22,14,5,18,,767,117,152,307,192,767,20,17,29,34,40,31,28,42,35,19,48,25,43,47,56,79,36,15,124,767,204,273,291,724,177,225,322,767,267,182,318,767,126,641
Distrust in Brands (0-4),NBC/MSNBC News,664,386,277,664,41,99,111,89,324,17,24,140,523,251,413,154,170,664,26,50,76,54,181,8,18,76,310,152,235,90,91,15,50,35,35,144,9,6,64,213,99,178,64,79,664,11,3,31,8,71,18,8,2,5,62,20,,6,20,12,10,6,21,7,2,8,8,11,7,2,17,2,2,9,5,13,3,36,15,,28,6,5,30,2,7,1,17,52,5,,22,12,5,15,,664,102,128,268,165,664,19,12,23,27,35,21,19,35,30,16,44,21,36,46,51,69,29,16,115,664,199,237,227,625,150,198,278,664,238,166,259,664,120,543
Distrust in Brands (0-4),ABC News,573,341,232,573,30,93,92,74,284,8,22,124,449,215,358,135,149,573,20,51,63,44,162,3,17,71,270,134,206,78,84,10,42,28,29,122,5,5,53,180,81,151,57,65,573,12,2,29,4,58,15,7,2,4,56,17,,10,18,14,10,5,17,6,2,12,5,10,6,2,15,2,1,10,5,10,3,25,10,,22,6,4,25,1,7,1,11,41,4,,20,11,4,12,,573,80,114,231,148,573,14,13,19,20,27,26,15,31,26,12,39,21,28,42,41,57,31,11,100,573,177,198,198,538,124,167,247,573,210,135,228,573,112,461
Distrust in Brands (0-4),CBS News,583,354,229,583,34,85,100,78,286,6,27,118,465,219,364,136,150,583,22,49,69,46,167,1,21,72,282,140,213,81,86,11,36,31,32,119,5,6,47,182,78,151,55,64,583,11,2,30,5,64,18,7,2,5,55,16,,11,18,9,10,7,14,5,3,9,7,13,7,3,15,2,1,7,5,10,2,27,9,,22,7,4,24,2,7,1,12,47,5,1,17,11,2,12,,583,87,114,226,155,583,15,10,19,22,28,19,16,31,29,11,39,20,31,41,50,60,27,13,102,583,174,207,202,545,127,175,244,583,222,134,227,583,114,468
Distrust in Brands (0-4),Yahoo! News,603,327,276,603,53,113,94,84,259,16,37,166,437,259,343,135,124,603,29,58,61,46,133,7,22,87,240,148,179,72,61,24,55,33,38,127,9,15,79,197,112,164,64,63,603,11,3,27,6,71,13,7,1,5,38,14,,11,18,14,9,6,19,2,1,13,10,12,6,1,16,3,1,7,4,10,2,34,9,,20,8,7,30,3,6,,12,48,9,,20,15,3,18,,603,98,120,217,168,603,12,16,22,24,32,30,26,30,20,24,36,18,27,37,44,59,27,16,102,603,179,222,201,565,160,173,231,603,194,150,259,603,116,487
Distrust in Brands (0-4),Local television news,333,189,144,333,26,75,63,43,126,9,17,101,232,164,169,65,61,333,13,39,41,27,67,4,9,53,136,94,95,39,29,12,35,22,16,59,4,8,48,97,70,75,26,33,333,9,1,15,,51,7,6,1,3,32,4,1,3,8,3,6,1,10,1,,9,6,6,7,2,6,1,,6,2,6,,19,4,,9,4,5,13,1,6,,7,22,6,,11,8,1,5,,333,52,53,124,104,333,16,10,9,12,13,13,9,14,10,4,22,9,21,22,28,35,24,9,55,333,95,101,136,309,98,84,127,333,128,71,134,333,57,276
Distrust in Brands (0-4),New York Times,649,374,276,649,41,99,97,86,326,11,30,140,509,237,412,161,165,649,27,50,71,48,178,6,21,77,297,148,226,89,89,14,50,26,38,148,5,9,64,212,90,186,72,75,649,13,3,25,7,70,19,8,1,6,57,20,,12,20,14,8,6,20,5,2,12,8,13,7,3,14,1,2,8,4,13,5,30,13,,22,8,6,30,2,6,1,15,53,7,1,22,13,3,17,,649,97,122,263,168,649,18,17,19,24,30,25,22,31,29,15,40,22,40,43,42,71,27,13,121,649,186,234,229,608,129,212,268,649,234,147,268,649,115,534
Distrust in Brands (0-4),Washington Post,585,344,241,585,35,106,96,73,275,8,27,141,444,237,348,129,146,585,21,63,66,39,155,1,20,85,260,150,194,77,77,14,43,30,34,120,7,7,57,184,87,154,51,69,585,13,3,21,4,68,14,7,2,5,48,14,,5,17,10,8,5,15,3,2,11,6,12,7,2,16,2,3,7,4,12,5,24,11,,22,5,9,27,3,7,1,12,56,6,,22,11,3,17,,585,85,117,233,151,585,17,11,17,28,32,21,25,30,25,12,36,19,34,33,39,57,32,12,106,585,166,195,224,545,123,180,243,585,220,128,237,585,100,485
Distrust in Brands (0-4),HuffPost (Huffington Post),685,401,284,685,48,122,114,102,299,19,30,170,515,284,401,145,154,685,27,64,81,61,169,7,20,91,310,172,229,83,86,21,57,33,41,131,11,10,79,205,112,172,63,68,685,13,3,31,8,83,18,8,2,5,58,14,,9,30,11,12,6,18,5,2,10,11,13,6,2,14,2,3,10,6,10,5,32,11,,28,8,8,28,3,9,1,12,57,6,,22,17,3,13,,685,100,137,256,192,685,20,15,23,33,31,26,25,44,25,13,39,19,32,46,48,74,37,16,116,685,208,237,241,645,176,195,274,685,235,163,287,685,128,557
Distrust in Brands (0-4),Buzzfeed News,680,370,310,680,85,142,122,92,240,36,50,227,453,349,332,132,108,680,43,69,81,53,124,16,28,112,258,193,177,71,54,42,73,41,39,115,20,22,115,195,155,154,61,54,680,11,4,28,8,81,24,6,4,3,45,20,,9,24,17,12,3,17,5,1,11,13,13,10,2,11,5,3,9,4,11,5,29,11,,27,9,8,31,4,6,1,12,56,12,,21,15,2,17,,680,99,140,243,199,680,22,18,19,32,35,36,24,37,27,16,43,21,27,47,49,67,35,25,100,680,185,241,254,638,196,185,257,680,225,156,299,680,117,564
Distrust in Brands (0-4),NPR News,502,312,190,502,29,96,78,66,233,6,23,124,377,203,299,117,116,502,18,54,56,40,145,2,16,72,240,127,184,75,69,11,42,23,26,88,4,7,53,137,75,115,41,47,502,9,2,22,5,48,16,5,1,4,49,13,,8,15,15,8,5,13,3,2,11,6,9,5,1,13,2,2,8,4,7,5,28,7,,15,7,8,27,1,3,1,9,38,4,,17,10,2,10,,502,79,98,193,131,502,17,11,13,20,26,20,17,24,23,16,30,16,25,30,36,52,26,14,87,502,162,169,170,468,105,155,208,502,194,109,198,502,100,402
Distrust in Brands (0-4),Breitbart,931,516,415,931,98,162,164,137,371,31,67,260,671,424,508,207,164,931,63,79,93,83,198,20,43,142,375,235,281,115,84,35,83,71,54,172,11,24,118,297,189,226,92,80,931,15,4,29,7,114,26,11,1,8,67,27,1,4,39,28,14,7,19,6,,18,19,32,18,4,10,4,5,11,5,19,3,65,16,1,43,8,20,46,3,9,1,13,57,5,1,27,21,3,15,1,931,169,213,307,243,931,27,24,35,45,41,42,46,38,34,39,53,30,42,64,72,90,62,29,116,931,334,331,266,895,341,193,360,931,328,225,378,931,201,731
Distrust in Brands (0-4),Wall Street Journal,447,269,178,447,45,86,92,48,176,14,31,131,316,223,224,85,92,447,34,43,64,30,98,11,24,77,192,141,128,44,53,10,43,28,17,79,3,7,54,124,82,96,40,39,447,8,2,18,2,57,10,5,,3,37,9,,3,13,9,7,4,14,6,,6,7,8,5,1,8,,,6,3,12,,22,9,,15,6,3,28,1,9,,12,39,3,2,13,11,2,10,,447,80,78,176,112,447,20,14,24,20,26,25,16,26,19,10,24,12,27,25,21,30,21,14,74,447,127,135,185,415,100,123,192,447,152,92,202,447,68,378
Distrust in Brands (0-4),Vice News,409,229,180,409,41,94,84,51,139,9,31,135,274,219,190,79,61,409,19,45,59,28,79,2,17,64,165,123,106,47,31,22,49,25,23,61,8,14,71,109,96,84,31,29,409,7,,11,7,48,8,3,,3,27,12,,7,18,11,3,3,11,2,,9,8,6,9,,5,2,3,4,2,8,1,24,7,,13,4,6,28,1,4,,4,40,1,1,16,9,2,11,,409,74,82,154,98,409,16,12,16,22,21,22,19,24,13,10,30,11,16,21,23,40,18,11,63,409,112,127,170,378,97,113,169,409,133,89,187,409,67,342