brand,segB_all,digitalist_trust,traditionalist_trust,both__trust,digitalist_distrust,traditionalist_distrust,both_distrust
Fox News,992,199,365,428,360,184,357
CNN,1177,367,324,486,177,225,322
NBC/MSNBC News,1200,358,336,505,150,198,278
ABC News,1258,380,361,517,124,167,247
CBS News,1269,381,359,529,127,175,244
Yahoo! News,866,253,231,382,160,173,231
Local television news,1459,408,430,621,98,84,127
New York Times,1225,416,306,503,129,212,268
Washington Post,1191,399,300,492,123,180,243
HuffPost (Huffington Post),941,313,228,400,176,195,274
Buzzfeed News,717,244,158,316,196,185,257
NPR News,955,374,209,371,105,155,208
Breitbart,439,98,143,197,341,193,360
Wall Street Journal,1283,401,348,534,100,123,192
Vice News,517,185,116,216,97,113,169